word,emotion,pleasantness,attention,aptitude,sensitivity,sentiment,afinn_score,color,orientation,subjectivity
aapl,,0.9,0.0,0.0,0.9,positive,,,,
aback,,,,,,,,brown,,
abacus,trust,,,,,,,,,
abalone,,0.0,0.934,0.0,0.0,positive,,,,
abandon,fear,-0.9,0.0,0.0,-0.75,negative,-2,,,weak
abandoned,anger,-0.75,0.0,0.68,-0.59,negative,-2,black,,weak
abandonment,anger,-0.33,0.0,0.0,0.0,negative,,black,,weak
abandons,,,,,,negative,-2,,,
abase,,-0.85,0.0,0.0,-0.89,negative,,,,strong
abasement,,-0.92,0.0,-0.88,0.0,negative,,,,strong
abash,,-0.9,0.0,-0.77,0.0,negative,,,,strong
abashed,,-0.89,0.0,-0.78,0.0,negative,,,,
abashment,,0.0,0.0,0.0,-0.33,negative,,,,
abatacept,,-0.89,0.0,0.989,-0.59,negative,,,,
abate,,-0.86,0.0,-0.85,0.0,negative,,,passive,weak
abatement,,0.707,0.0,0.925,0.0,positive,,,,
abattoir,,0.0,-0.17,0.0,0.0,negative,,,,
abaxially,,-0.65,0.0,0.94,-0.87,negative,,,,
abba,,,,,,positive,,,,
abbot,trust,-0.85,0.0,0.0,-0.74,negative,,,,
abbr,,0.978,0.0,0.776,0.0,positive,,,,
abbreviate,,-0.13,-0.06,0.0,-0.14,negative,,,,
abdicate,,-0.71,0.0,-0.7,0.0,negative,,,passive,weak
abdication,,0.0,0.0,0.0,-0.17,negative,,,,
abdoman,,0.785,0.902,0.0,0.0,positive,,,,
abdominal,,0.0,0.0,0.0,-0.08,negative,,,,
abdominoplasty,,0.0,0.0,0.0,0.164,positive,,,,
abduce,,0.781,0.914,0.0,0.0,positive,,,,
abduct,,0.0,0.0,0.0,-0.84,negative,,,,
abducted,,,,,,negative,-2,,,
abductee,,0.0,0.0,-0.82,-0.72,negative,,,,
abduction,fear,0.0,0.0,-0.82,-0.72,negative,-2,white,,
abductions,,,,,,negative,-2,,,
abductor,,0.934,-0.62,0.0,0.79,positive,,,,
abelian,,0.695,-0.6,0.0,0.898,positive,,,,
aberrance,,0.0,0.0,0.0,-0.66,negative,,,,
aberrancy,,0.0,0.0,0.0,-0.66,negative,,,,
aberrant,,0.855,-0.52,0.0,0.978,negative,,,,
aberrantly,,0.782,0.0,0.942,0.0,positive,,,,
aberration,disgust,-0.64,0.0,0.815,-0.72,negative,,orange,,strong
abetalipoproteinemia,,-0.86,0.0,0.76,-0.97,negative,,,,
abettor,,0.0,0.075,0.028,0.173,positive,,,,
abeyance,,0.0,-0.33,0.0,0.0,negative,,grey,,
abhor,anger,-0.06,0.183,0.651,-0.64,negative,-3,black,passive,strong
abhorred,,,,,,negative,-3,,,strong
abhorrence,,-0.06,0.183,0.651,-0.64,negative,,,,strong
abhorrent,anger,-0.98,0.0,0.0,-0.97,negative,-3,,,strong
abhorrently,,,,,,negative,,,,strong
abhors,,,,,,negative,-3,,,strong
abidance,,0.0,0.329,0.0,0.0,positive,,,,strong
abide,,0.038,0.0,0.0,0.097,positive,,,active,strong
abilities,,,,,,positive,2,,,weak
ability,,0.0,0.45,0.0,0.0,positive,2,,,weak
abject,disgust,-0.98,0.0,-0.97,0.0,negative,,,passive,strong
abjection,,-0.92,0.0,-0.88,0.0,negative,,,,
abjectly,,-0.7,0.0,-0.74,0.0,negative,,,,strong
abjectness,,0.0,0.0,0.0,-0.67,negative,,,,
abjuration,,-0.97,0.0,0.616,-0.58,negative,,,,
abjure,,-0.97,0.0,0.616,-0.58,negative,,,,weak
ablate,,0.63,-0.69,0.0,0.865,positive,,,,
ablaze,,0.043,0.084,0.0,0.139,positive,,red,,
able,,,,,,positive,,,,weak
ablest,,0.563,0.666,-0.34,0.48,positive,,,,
ably,,0.046,-0.66,0.0,0.365,negative,,,,
abnegate,,0.0,0.0,-0.91,-0.95,negative,,,,
abnegation,,0.0,0.0,0.0,-0.17,negative,,,,
abnormal,disgust,-0.58,0.0,0.814,-0.54,negative,,,,weak
abnormality,,-0.56,0.0,0.977,-0.87,negative,,,,
abnormally,,-0.58,0.0,0.814,-0.54,negative,,,,
aboard,,-0.81,0.0,0.823,-0.63,negative,1,blue,,
abode,,0.757,0.0,0.0,0.835,positive,,brown,,
abolish,anger,0.878,-0.66,0.0,0.876,negative,,,active,weak
abolishment,,0.0,0.0,0.0,-0.18,negative,,,,
abolition,,0.0,0.0,0.0,-0.18,negative,,black,,
abolitionism,,0.916,-0.73,0.0,0.797,positive,,,,
abolitionist,,0.916,-0.73,0.0,0.797,positive,,,,
abomasum,,0.0,0.0,0.0,-0.08,negative,,,,
abominable,disgust,-0.9,0.138,-0.63,0.071,negative,,,,strong
abominably,,-0.06,0.123,0.712,-0.67,negative,,,,strong
abominate,,-0.06,0.183,0.651,-0.64,negative,,,,strong
abomination,anger,-0.98,0.0,0.0,-0.97,negative,,black,,strong
aboon,,-0.99,0.0,0.604,-0.91,negative,,,,
aboriginal,,0.0,0.0,0.0,0.17,positive,,brown,,
aborigine,,0.0,0.0,0.0,0.17,positive,,,,
abort,,-0.95,0.0,0.669,-0.86,negative,,,,
aborted,,,,,,negative,,,,
aborticide,,-0.78,0.0,0.0,-0.83,negative,,,,
abortifacient,,0.59,-0.59,0.0,0.527,positive,,,,
abortion,disgust,-0.77,0.0,0.0,-0.83,negative,,black,,
abortive,sadness,-0.45,0.0,0.0,0.0,negative,,,,
aborts,,,,,,negative,,,,
abortus,,-0.98,0.0,-0.95,0.0,negative,,,,
aboulia,,-0.74,0.0,0.885,-0.58,negative,,,,
aboulic,,-0.59,0.0,0.892,-0.74,negative,,,,
abound,,0.0,0.0,-0.83,-0.96,positive,,,passive,weak
abounds,,,,,,positive,,,,
above,,,,,,positive,,,,weak
above-average,,0.9,0.0,0.0,0.9,positive,,,,weak
aboveboard,,0.799,0.0,0.893,0.0,positive,,,,
aboveground,,0.0,0.144,0.0,0.09,positive,,,,
abovementioned,,,,,,positive,,grey,,
abovesaid,,-0.99,0.0,-0.73,0.0,negative,,,,
abracadabra,,-0.56,0.0,0.51,-0.9,negative,,,,
abrade,,-0.93,0.0,0.0,-0.78,negative,,,,weak
abrasion,,-0.1,-0.02,-0.08,-0.14,negative,,,,
abrasive,,-0.71,0.0,0.8,-0.69,negative,,,,strong
abrasively,,-0.71,0.0,0.8,-0.69,negative,,,,
abreaction,,0.45,0.0,0.0,0.0,positive,,,,
abreast,,0.0,-0.33,0.0,0.0,negative,,,,
abridge,,0.621,-0.7,0.0,0.864,positive,,,,
abridged,,-0.78,-0.84,0.0,0.0,negative,,,,
abridgement,,0.0,0.17,0.0,0.0,positive,,,,
abridgment,,0.0,0.17,0.0,0.0,positive,,,,
abrin,,-0.53,0.0,0.673,-0.73,negative,,,,
abroad,,,,,,,,blue,,
abrogate,,0.885,-0.66,0.0,0.879,negative,,,,
abrogation,,0.795,0.0,0.0,0.745,positive,,,,
abrupt,surprise,-0.73,0.0,0.855,-0.87,negative,,,,weak
abruptly,,-0.09,0.0,-0.15,-0.21,negative,,red,,
abruptly-pinnate,,0.737,-0.8,0.0,0.611,positive,,,,
abruptness,,-0.56,0.0,0.828,-0.68,negative,,,,
abs,,0.9,0.0,0.0,0.9,positive,,,,
abscess,sadness,0.0,-0.17,0.0,0.0,negative,,,,
abscessed,,-0.54,0.0,0.662,-0.56,negative,,,,
abscission,,-0.75,0.0,0.512,-0.75,negative,,,,
abscond,,0.646,-0.86,0.0,0.945,negative,,,active,strong
abseil,,-0.99,0.0,0.641,-0.76,negative,,,,
absence,fear,-0.56,0.0,-0.49,-0.09,negative,,white,,weak
absent,sadness,-0.56,0.0,-0.49,-0.09,negative,,white,passive,
absent-minded,,,,,,negative,,,passive,strong
absentee,sadness,,,,,negative,-1,,,weak
absenteeism,,,,,,negative,,,,
absentees,,,,,,negative,-1,,,
absentia,,-0.57,0.0,0.794,-0.77,negative,,,,
absently,,0.0,0.0,0.953,0.845,positive,,,,
absentmindedly,,-0.96,0.0,0.0,-0.76,negative,,,,
absinthe,,,,,,,,green,,
absolute,,,,,,positive,,,,strong
absolutely,,,,,,,,,,strong
absolutepunk,,-0.8,0.0,0.56,-0.6,negative,,,,
absolution,joy,0.0,0.0,0.0,0.17,positive,,,,
absolutism,,-0.83,0.0,0.858,-0.79,negative,,,,
absolutist,,-0.89,0.0,0.678,-0.62,negative,,,,
absolutistic,,-0.84,0.0,-0.74,0.0,negative,,,,
absolutive,,-0.82,0.0,0.81,-0.61,negative,,,,
absolve,,-0.96,0.0,0.671,-0.86,positive,2,,active,strong
absolved,,,,,,positive,2,,,
absolves,,,,,,positive,2,,,
absolving,,,,,,positive,2,,,
absolvitory,,0.9,0.0,0.0,0.8,positive,,,,
absorb,,0.124,0.125,0.0,0.141,positive,,,,
absorbance,,0.768,-0.63,0.0,0.885,positive,,,,
absorbant,,0.0,-0.01,0.048,-0.04,negative,,,,
absorbed,,,,,,positive,1,,,weak
absorbency,,0.0,0.799,0.0,0.0,positive,,,,
absorbent,,-0.88,0.0,-1.0,0.0,positive,,white,,
absorbing,,0.566,-0.91,0.0,0.599,positive,,,,
absorption,,0.768,-0.63,0.0,0.885,positive,,,,
absorptive,,-0.88,0.0,-1.0,0.0,negative,,,,
absquatulate,,0.646,-0.86,0.0,0.945,positive,,,,
abstainer,,0.0,0.0,0.0,0.168,positive,,,,
abstemious,,0.0,0.0,0.799,0.919,positive,,,,
abstemiousness,,0.915,-0.74,0.0,0.793,positive,,,,
abstention,,0.63,0.622,-0.29,0.365,positive,,,,
abstinence,,-0.92,0.0,-0.79,0.0,negative,,,,
abstinent,,-0.92,0.0,-0.79,0.0,negative,,,,
abstractedly,,-0.71,0.307,-0.4,-0.07,negative,,,,
abstraction,,0.684,-0.53,0.0,0.819,positive,,,,
abstractionism,,0.93,-0.93,0.0,0.771,positive,,,,
abstractive,,-0.94,0.0,0.0,-0.98,negative,,,,
abstractly,,0.841,0.0,0.984,0.0,positive,,,,
abstruse,,0.0,0.0,0.759,0.974,positive,,,,
absurd,,-0.81,0.0,-0.81,-0.97,negative,,,,strong
absurdism,,-0.93,0.0,0.94,-0.77,negative,,,,
absurdist,,-0.78,-0.84,0.0,0.0,negative,,,,
absurdity,,-0.96,0.0,0.261,-0.95,negative,,,,strong
absurdly,,-0.78,0.0,0.0,-0.82,negative,,,,strong
absurdness,,,,,,negative,,,,strong
abuelo,,-0.57,0.0,0.803,-0.77,negative,,,,
abulia,,-0.74,0.0,0.885,-0.58,negative,,,,
abundance,anticipation,0.17,0.0,0.0,0.0,negative,,green,,weak
abundant,joy,0.831,0.719,0.0,0.0,positive,,,,weak
